EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 1 / Conta: 99999999
Extrato gerado em 02/09/2026 - as 14:27:10

Extrato de 04/07/2026 a 02/09/2026


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
15/07/2026,15/07/2026,Pix enviado para Pessoa Teste 17,TRANSF ENVIADA PIX,0.00,150.00,5171.89
15/07/2026,15/07/2026,Empresa Teste 8 LTDA,Empresa Teste 8 LTDA,0.00,552.02,5171.89
15/07/2026,15/07/2026,Pix enviado para Pessoa Teste 18,TRANSF ENVIADA PIX,0.00,1000.00,5171.89
15/07/2026,15/07/2026,ENVIO DE TED TRANSF,Transferência (TED) para Pessoa Teste TED,0.00,6000.00,5171.89
16/07/2026,16/07/2026,Pix enviado para Pessoa Teste 19,TRANSF ENVIADA PIX,0.00,134.75,4943.89
16/07/2026,16/07/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,80.25,4943.89
16/07/2026,16/07/2026,Pix enviado para Pessoa Teste 20,TRANSF ENVIADA PIX,0.00,13.00,4943.89
17/07/2026,17/07/2026,Pix enviado para Pessoa Teste 6,TRANSF ENVIADA PIX,0.00,150.00,4793.89
20/07/2026,20/07/2026,Pix enviado para Pessoa Teste 19,TRANSF ENVIADA PIX,0.00,600.00,4093.89
20/07/2026,20/07/2026,Pix enviado para Pessoa Teste 21,TRANSF ENVIADA PIX,0.00,100.00,4093.89
22/07/2026,22/07/2026,Pix enviado para Pessoa Teste 22,TRANSF ENVIADA PIX,0.00,280.00,3553.89
22/07/2026,22/07/2026,Pix enviado para Pessoa Teste 19,TRANSF ENVIADA PIX,0.00,134.75,3553.89
22/07/2026,22/07/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,110.25,3553.89
22/07/2026,22/07/2026,Empresa Teste 9 LTDA,observacao de teste,0.00,15.00,3553.89
23/07/2026,23/07/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,1944.00,0.00,3854.89
23/07/2026,23/07/2026,Empresa Teste 10 LTDA,Empresa Teste 10 LTDA,0.00,1643.00,3854.89
25/07/2026,27/07/2026,Empresa Teste 9 LTDA,observacao de teste,0.00,68.00,3246.15
27/07/2026,27/07/2026,Pix enviado para Pessoa Teste 2,TRANSF ENVIADA PIX,0.00,82.54,3246.15
27/07/2026,27/07/2026,Pix enviado para Pessoa Teste 23,TRANSF ENVIADA PIX,0.00,122.32,3246.15
27/07/2026,27/07/2026,Pix enviado para Pessoa Teste 24,TRANSF ENVIADA PIX,0.00,167.94,3246.15
27/07/2026,27/07/2026,Pix enviado para Pessoa Teste 24,TRANSF ENVIADA PIX,0.00,167.94,3246.15
28/07/2026,28/07/2026,Pix enviado para Pessoa Teste 25,TRANSF ENVIADA PIX,0.00,150.00,3096.15
29/07/2026,29/07/2026,Pix enviado para Pessoa Teste 26,TRANSF ENVIADA PIX,0.00,250.00,2631.15
29/07/2026,29/07/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,215.00,2631.15
31/07/2026,31/07/2026,Pix enviado para Pessoa Teste 8,observacao de teste,0.00,600.00,2031.15
02/08/2026,03/08/2026,Pix enviado para Pessoa Teste 27,TRANSF ENVIADA PIX,0.00,63.89,1674.42
02/08/2026,03/08/2026,Pix enviado para Pessoa Teste 28,TRANSF ENVIADA PIX,0.00,17.84,1674.42
03/08/2026,03/08/2026,Pix enviado para Pessoa Teste 3,TRANSF ENVIADA PIX,0.00,275.00,1674.42
04/08/2026,04/08/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,215.00,1429.37
04/08/2026,04/08/2026,Pix enviado para Pessoa Teste 29,TRANSF ENVIADA PIX,0.00,30.05,1429.37
05/08/2026,05/08/2026,Empresa Teste 11 LTDA,observacao de teste,0.00,120.00,1908.60
05/08/2026,05/08/2026,Pix recebido de Pessoa Teste 30,observacao de teste,1189.23,0.00,1908.60
05/08/2026,05/08/2026,Pix enviado para Pessoa Teste 31,TRANSF ENVIADA PIX,0.00,270.00,1908.60
05/08/2026,05/08/2026,Empresa Teste 12 LTDA,Empresa Teste 12 LTDA,0.00,320.00,1908.60
06/08/2026,06/08/2026,Pix enviado para Pessoa Teste 25,TRANSF ENVIADA PIX,0.00,350.00,1558.60
08/08/2026,10/08/2026,Pix enviado para Pessoa Teste 32,TRANSF ENVIADA PIX,0.00,57.90,1354.83
09/08/2026,10/08/2026,Pix enviado para Pessoa Teste 33,TRANSF ENVIADA PIX,0.00,145.87,1354.83
11/08/2026,11/08/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,26522.00,0.00,-283.66
11/08/2026,11/08/2026,Empresa Teste 3 LTDA,Empresa Teste 3 LTDA,0.00,2433.97,-283.66
11/08/2026,11/08/2026,Empresa Teste 3 LTDA,Empresa Teste 3 LTDA,0.00,2433.97,-283.66
11/08/2026,11/08/2026,Empresa Teste 2 LTDA,Boleto,0.00,550.72,-283.66
11/08/2026,11/08/2026,Empresa Teste 5 LTDA,Boleto,0.00,2356.51,-283.66
11/08/2026,11/08/2026,BANCO C6 S.A.,Boleto,0.00,12936.33,-283.66
11/08/2026,11/08/2026,Empresa Teste 6 LTDA,Boleto,0.00,213.83,-283.66
11/08/2026,11/08/2026,Empresa Teste 13 LTDA,Empresa Teste 13 LTDA,0.00,2227.09,-283.66
11/08/2026,11/08/2026,Empresa Teste 4 LTDA,Boleto,0.00,608.07,-283.66
11/08/2026,11/08/2026,Pix enviado para Pessoa Teste 8,TRANSF ENVIADA PIX,0.00,2000.00,-283.66
11/08/2026,11/08/2026,Pix enviado para Pessoa Teste 34,TRANSF ENVIADA PIX C,0.00,2400.00,-283.66
12/08/2026,12/08/2026,Pix enviado para Pessoa Teste 19,TRANSF ENVIADA PIX,0.00,59.90,-70.93
12/08/2026,12/08/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,155.10,-70.93
12/08/2026,12/08/2026,Empresa Teste 14 LTDA,observacao de teste,427.73,0.00,-70.93
14/08/2026,14/08/2026,Pix recebido de Pessoa Teste 14,Pix recebido de Pessoa Teste 14,18974.00,0.00,5879.07
14/08/2026,14/08/2026,Pix enviado para Pessoa Teste 35,TRANSF ENVIADA PIX,0.00,397.00,5879.07
14/08/2026,14/08/2026,ENVIO DE TED TRANSF,Transferência (TED) para Pessoa Teste TED,0.00,10000.00,5879.07
14/08/2026,14/08/2026,Empresa Teste 8 LTDA,Empresa Teste 8 LTDA,0.00,477.00,5879.07
14/08/2026,14/08/2026,Pix enviado para Pessoa Teste 17,TRANSF ENVIADA PIX,0.00,150.00,5879.07
14/08/2026,14/08/2026,Pix enviado para Pessoa Teste 18,TRANSF ENVIADA PIX,0.00,2000.00,5879.07
15/08/2026,17/08/2026,Pix enviado para Pessoa Teste 11,TRANSF ENVIADA PIX,0.00,80.00,5809.07
17/08/2026,17/08/2026,Pix enviado para Pessoa Teste 36,TRANSF ENVIADA PIX,0.00,170.00,5809.07
17/08/2026,17/08/2026,Pix recebido de Pessoa Teste 37,Pix recebido de Pessoa Teste 37,180.00,0.00,5809.07
18/08/2026,18/08/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,610.00,0.00,6072.16
18/08/2026,18/08/2026,Pix enviado para Pessoa Teste 16,TRANSF ENVIADA PIX,0.00,96.91,6072.16
18/08/2026,18/08/2026,Pix enviado para Pessoa Teste 18,TRANSF ENVIADA PIX,0.00,250.00,6072.16
19/08/2026,19/08/2026,Pix enviado para Pessoa Teste 19,TRANSF ENVIADA PIX,0.00,59.90,5857.16
19/08/2026,19/08/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,155.10,5857.16
20/08/2026,20/08/2026,Pix enviado para Pessoa Teste 38,TRANSF ENVIADA PIX,0.00,287.00,5570.16
21/08/2026,21/08/2026,Pix enviado para Pessoa Teste 15,TRANSF ENVIADA PIX,0.00,178.89,6266.27
21/08/2026,21/08/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,875.00,0.00,6266.27
22/08/2026,24/08/2026,Pix recusado,Pix recusado,0.00,60.00,813.27
22/08/2026,24/08/2026,Pix estornado,Pix estornado,60.00,0.00,813.27
22/08/2026,24/08/2026,Pix enviado para Pessoa Teste 39,TRANSF ENVIADA PIX,0.00,60.00,813.27
22/08/2026,24/08/2026,Pix enviado para Pessoa Teste 40,TRANSF ENVIADA PIX,0.00,118.87,813.27
22/08/2026,24/08/2026,Empresa Teste 15 LTDA,Invalid CPF by Currently sanctioned.,118.87,0.00,813.27
24/08/2026,24/08/2026,Empresa Teste 10 LTDA,Empresa Teste 10 LTDA,0.00,1643.00,813.27
24/08/2026,24/08/2026,ENVIO DE TED TRANSF,Transferência (TED) para Pessoa Teste TED,0.00,2500.00,813.27
24/08/2026,24/08/2026,PGTO FAT CARTAO C6,Fatura de cartão,0.00,1000.00,813.27
24/08/2026,24/08/2026,Pix enviado para Pessoa Teste 8,observacao de teste,0.00,250.00,813.27
25/08/2026,25/08/2026,Pix enviado para Pessoa Teste 41,TRANSF ENVIADA PIX,0.00,400.00,413.27
26/08/2026,26/08/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,215.00,198.27
27/08/2026,27/08/2026,Pix enviado para Pessoa Teste 21,TRANSF ENVIADA PIX,0.00,100.00,98.27
29/08/2026,31/08/2026,Pix enviado para Pessoa Teste 42,TRANSF ENVIADA PIX C,0.00,136.00,-362.73
30/08/2026,31/08/2026,Pix enviado para Pessoa Teste 33,TRANSF ENVIADA PIX,0.00,50.00,-362.73
31/08/2026,31/08/2026,Pix enviado para Pessoa Teste 3,TRANSF ENVIADA PIX,0.00,275.00,-362.73
01/09/2026,01/09/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,215.00,-580.23
02/09/2026,01/09/2026,IOF CHEQUE ESPECIAL,,0.00,2.50,-580.23
